tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-life-stage,animal-sex,animal-taxon-detail,attachment-type,deployment-id,manipulation-type,study-site
YL221,YL221,Cervus elaphus,2022-03-03 01:00:00.000,,adult,f,ssp. canadensis,collar,YL221,none,"Banff National Park, Canada"
YL191/X,YL191/X,Cervus elaphus,2022-03-03 03:00:00.000,,adult,f,ssp. canadensis,collar,YL191/X,none,"Banff National Park, Canada"
YL225,YL225,Cervus elaphus,2022-03-04 01:00:00.000,,adult,f,ssp. canadensis,collar,YL225,none,"Banff National Park, Canada"
YL227/J,YL227/J,Cervus elaphus,2022-03-04 01:00:00.000,,adult,f,ssp. canadensis,collar,YL227/J,none,"Banff National Park, Canada"
YL230,YL230,Cervus elaphus,2022-03-05 01:00:00.000,,adult,f,ssp. canadensis,collar,YL230,none,"Banff National Park, Canada"
YL228,YL228,Cervus elaphus,2022-03-05 01:00:00.000,,adult,f,ssp. canadensis,collar,YL228,none,"Banff National Park, Canada"
YL229,YL229,Cervus elaphus,2022-03-05 01:00:00.000,,adult,f,ssp. canadensis,collar,YL229,none,"Banff National Park, Canada"
YL231,YL231,Cervus elaphus,2022-03-05 04:00:00.000,,adult,f,ssp. canadensis,collar,YL231,none,"Banff National Park, Canada"
YL234,YL234,Cervus elaphus,2022-03-06 06:00:00.000,,adult,f,ssp. canadensis,collar,YL234,none,"Banff National Park, Canada"
YL232,YL232,Cervus elaphus,2022-03-06 06:00:00.000,,adult,f,ssp. canadensis,collar,YL232,none,"Banff National Park, Canada"
YL233,YL233,Cervus elaphus,2022-03-06 06:00:00.000,,adult,f,ssp. canadensis,collar,YL233,none,"Banff National Park, Canada"
YL235,YL235,Cervus elaphus,2022-03-07 08:00:00.000,,adult,f,ssp. canadensis,collar,YL235,none,"Banff National Park, Canada"
YL239,YL239,Cervus elaphus,2023-02-28 01:00:00.000,,adult,f,ssp. canadensis,collar,YL239,none,"Banff National Park, Canada"
YL237,YL237,Cervus elaphus,2023-03-01 01:00:00.000,,adult,f,ssp. canadensis,collar,YL237,none,"Banff National Park, Canada"
YL236,YL236,Cervus elaphus,2023-03-02 01:00:00.000,,adult,f,ssp. canadensis,collar,YL236,none,"Banff National Park, Canada"
YL240,YL240,Cervus elaphus,2023-03-02 01:00:00.000,,adult,f,ssp. canadensis,collar,YL240,none,"Banff National Park, Canada"
YL238,YL238,Cervus elaphus,2023-03-02 01:00:00.000,,adult,f,ssp. canadensis,collar,YL238,none,"Banff National Park, Canada"
