tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-life-stage,animal-sex,animal-taxon-detail,attachment-type,deployment-id,manipulation-type,study-site
YL4,YL4,Cervus elaphus,2006-03-17 19:50:00.000,,adult,f,ssp. canadensis,collar,YL4,none,"Banff National Park, Canada"
GR172,GR172,Cervus elaphus,2006-03-17 21:10:00.000,,adult,f,ssp. canadensis,collar,GR172,none,"Banff National Park, Canada"
YL26,YL26,Cervus elaphus,2007-03-13 19:20:00.000,,adult,f,ssp. canadensis,collar,YL26,none,"Banff National Park, Canada"
YL61,YL61,Cervus elaphus,2007-03-13 20:24:00.000,,adult,f,ssp. canadensis,collar,YL61,none,"Banff National Park, Canada"
YL151_YL87,YL151_YL87,Cervus elaphus,2007-03-14 19:50:00.000,,adult,f,ssp. canadensis,collar,YL151_YL87,none,"Banff National Park, Canada"
BL224,BL224,Cervus elaphus,2009-03-19 17:00:00.000,,adult,f,ssp. canadensis,collar,BL224,none,"Banff National Park, Canada"
BL252,BL252,Cervus elaphus,2009-03-19 17:01:00.000,,adult,f,ssp. canadensis,collar,BL252,none,"Banff National Park, Canada"
YL135_BL222,YL135_BL222,Cervus elaphus,2009-03-19 23:00:00.000,,adult,f,ssp. canadensis,collar,YL135_BL222,none,"Banff National Park, Canada"
OR59_BL259,OR59_BL259,Cervus elaphus,2009-03-31 01:00:00.000,,adult,f,ssp. canadensis,collar,OR59_BL259,none,"Banff National Park, Canada"
YL140_BL257,YL140_BL257,Cervus elaphus,2009-04-01 01:01:00.000,,adult,f,ssp. canadensis,collar,YL140_BL257,none,"Banff National Park, Canada"
BL215,BL215,Cervus elaphus,2009-04-01 01:01:00.000,,adult,f,ssp. canadensis,collar,BL215,none,"Banff National Park, Canada"
YL119_BL245,YL119_BL245,Cervus elaphus,2010-03-18 17:50:00.000,,adult,f,ssp. canadensis,collar,YL119_BL245,none,"Banff National Park, Canada"
YL121_BL250,YL121_BL250,Cervus elaphus,2010-03-18 19:41:00.000,,adult,f,ssp. canadensis,collar,YL121_BL250,none,"Banff National Park, Canada"
BL269,BL269,Cervus elaphus,2010-03-19 00:07:00.000,,adult,f,ssp. canadensis,collar,BL269,none,"Banff National Park, Canada"
OR54_BL260,OR54_BL260,Cervus elaphus,2010-03-19 01:01:00.000,,adult,f,ssp. canadensis,collar,OR54_BL260,none,"Banff National Park, Canada"
